,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
132,8.22003993988037,0.30244154140477536,0.0026693105697631835,0.0002574582751054993,0.1,squared_error,131,25,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 25, 'min_samples_split': 6, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
134,7.970765590667725,0.2695955329383653,0.002892422676086426,0.0001779139136752072,0.1,squared_error,131,25,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 25, 'min_samples_split': 8, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
92,8.191597318649292,0.36786831160578887,0.0027890682220458986,0.00012608573545035574,0.1,squared_error,112,25,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 25, 'min_samples_split': 6, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
90,8.114289140701294,0.4101278740232395,0.0029592990875244142,0.0006910478083226521,0.1,squared_error,112,25,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 25, 'min_samples_split': 4, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
94,7.916214013099671,0.2346129380041847,0.0028209924697875977,0.00012529854506449599,0.1,squared_error,112,25,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 25, 'min_samples_split': 8, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
88,7.773067784309387,0.38925616821492437,0.002752518653869629,0.0002608655431460534,0.1,squared_error,112,25,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 25, 'min_samples_split': 2, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
12,7.91675591468811,0.43926392147371696,0.0028275966644287108,0.00019875447927597895,0.1,squared_error,75,25,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 25, 'min_samples_split': 6, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.735305100902618,-18.73702648244973,-19.035303546915816,-18.843773233422315,0.26036628285737806,17
14,8.073255968093871,0.29456409116465426,0.002797842025756836,0.00022018236536446958,0.1,squared_error,75,25,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 25, 'min_samples_split': 8, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.735305100902618,-18.73702648244973,-19.035303546915816,-18.843773233422315,0.26036628285737806,17
10,7.888338899612426,0.28560100116442255,0.00279388427734375,0.00028255684197536936,0.1,squared_error,75,25,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 25, 'min_samples_split': 4, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.735305100902618,-18.73702648244973,-19.035303546915816,-18.843773233422315,0.26036628285737806,17
8,7.935686087608337,0.3943782101547444,0.002790379524230957,0.0003279895554271779,0.1,squared_error,75,25,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 25, 'min_samples_split': 2, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.735305100902618,-18.73702648244973,-19.035303546915816,-18.843773233422315,0.26036628285737806,17
126,16.212491369247438,0.4001832987127314,0.0028240203857421873,0.00020332978311823674,0.1,squared_error,131,1,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-18.53696591737857,-19.502600590612374,-18.793065745519797,-18.957570073295464,-19.064045121606345,-18.44084372149215,-18.99785804702462,-18.52788554072723,-18.660648760113002,-19.293267630642436,-18.877475114841197,0.3320129310866359,21
46,15.091243481636047,0.20604618941257538,0.002684187889099121,0.0002100923104010386,0.1,squared_error,93,1,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-18.53696591737857,-19.502600590612374,-18.793065745519797,-18.957570073295464,-19.088083779250265,-18.423404437478823,-18.99785804702462,-18.52788554072723,-18.660648760113002,-19.293267630642436,-18.878135052204257,0.3357681279389663,22
86,15.252073550224305,0.2646338852113199,0.002740311622619629,6.982604534926321e-05,0.1,squared_error,112,1,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-18.53696591737857,-19.514962569908924,-18.793065745519797,-18.957570073295464,-19.076161382397895,-18.423404437478823,-18.99785804702462,-18.52788554072723,-18.660648760113002,-19.293267630642436,-18.878179010448676,0.3373618793197265,23
166,15.448507618904113,0.30514133884489203,0.002704429626464844,0.00018155332308206212,0.1,squared_error,150,1,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-18.548653546942724,-19.514962569908924,-18.774536005933452,-18.957570073295464,-19.083242577148937,-18.423404437478823,-18.99785804702462,-18.52788554072723,-18.660648760113002,-19.293267630642436,-18.87820291892156,0.3371413172521061,24
6,13.734015631675721,0.4752168458894235,0.0028014183044433594,0.00020808479186481751,0.1,squared_error,75,1,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-18.548895257295225,-19.502600590612374,-18.77555165450162,-18.945705298777302,-19.076161382397895,-18.44084372149215,-18.99785804702462,-18.54605685618727,-18.660648760113002,-19.293267630642436,-18.878758919904392,0.3298672846556748,25
82,27.637618255615234,0.769584205642475,0.003110837936401367,0.0003315187803587552,0.1,squared_error,112,1,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-18.548895257295225,-19.502600590612374,-18.774536005933452,-18.96842229197347,-19.095346656894087,-18.423404437478823,-19.03284516098754,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.88203519427145,0.33802438610516533,26
40,54.15926592350006,0.7524155724262673,0.002809953689575195,0.00025088404967296376,0.1,squared_error,93,1,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-18.53720778012841,-19.502600590612374,-18.774536005933452,-18.980272865858,-19.095346656894087,-18.423404437478823,-19.03284516098754,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.88205150394322,0.3395167876207459,27
124,19.908328342437745,0.49741468590749593,0.002672719955444336,0.00019225666206435548,0.1,squared_error,131,1,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-18.548653546942724,-19.502600590612374,-18.793065745519797,-18.96842229197347,-19.088083779250265,-18.423404437478823,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.883749398861795,0.3373325801736538,28
84,18.271539521217345,0.3577659397886699,0.002621746063232422,0.00017898621842576016,0.1,squared_error,112,1,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-18.548653546942724,-19.502600590612374,-18.774536005933452,-18.96842229197347,-19.090507296601345,-18.44084372149215,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.883882705039603,0.3356904532179542,29
